CN 2022,SupText,URI,Name
02071130,"Fresh or chilled, plucked and drawn fowls of species Gallus domesticus, without heads and feet but with necks, hearts, livers and gizzards, known as ""70% chickens""",020711300080,"0207 11 30 --- Plucked and drawn, without heads and feet but with necks, hearts, livers and gizzards, known as ‘70 % chickens’"
02071190,"Fresh or chilled, plucked and drawn fowls of species Gallus domesticus, without heads, feet, necks, hearts, livers and gizzards, known as ""65% chickens"", and other forms of fresh or chilled fowl, not cut in pieces (excl. ""83% and 70% chickens"")",020711900080,"0207 11 90 --- Plucked and drawn, without heads and feet and without necks, hearts, livers and gizzards, known as ‘65 % chickens’, or otherwise presented"
020712,"Frozen fowls of the species Gallus domesticus, not cut in pieces",020712000080,"0207 12 -- Not cut in pieces, frozen"
02071210,"Frozen fowls of species Gallus domesticus, plucked and drawn, without heads and feet but with necks, hearts, livers and gizzards, known as ""70% chickens""",020712100080,"0207 12 10 --- Plucked and drawn, without heads and feet but with necks, hearts, livers and gizzards, known as ‘70 % chickens’"
02071290,"Frozen fowls of species Gallus domesticus, plucked and drawn, without heads, feet, necks, hearts, livers and gizzards, known as ""65% chickens"", and other forms of fowl, not cut in pieces (excl. ""70% chickens"")",020712900080,"0207 12 90 --- Plucked and drawn, without heads and feet and without necks, hearts, livers and gizzards, known as ‘65 % chickens’, or otherwise presented"
020713,Fresh or chilled cuts and edible offal of fowls of the species Gallus domesticus,020713000080,"0207 13 -- Cuts and offal, fresh or chilled"
02071310,Fresh or chilled boneless cuts of fowls of the species Gallus domesticus,020713100080,0207 13 10 ---- Boneless
02071320,Fresh or chilled halves or quarters of fowls of the species Gallus domesticus,020713200080,0207 13 20 ----- Halves or quarters
02071330,"Fresh or chilled whole wings, with or without tips, of fowls of the species Gallus domesticus",020713300080,"0207 13 30 ----- Whole wings, with or without tips"
02071340,"Fresh or chilled backs, necks, backs with necks attached, rumps and wing-tips of fowls of the species Gallus domesticus",020713400080,"0207 13 40 ----- Backs, necks, backs with necks attached, rumps and wing-tips"
02071350,"Fresh or chilled breasts and cuts thereof of fowls of the species Gallus domesticus, with bone in",020713500080,0207 13 50 ----- Breasts and cuts thereof
02071360,"Fresh or chilled legs and cuts thereof of fowls of the species Gallus domesticus, with bone in",020713600080,0207 13 60 ----- Legs and cuts thereof
02071370,"Fresh or chilled cuts of fowls of the species Gallus domesticus, with bone in (excl. halves and quarters, whole wings, with or without tips, backs, necks, backs with necks attached, rumps and wing-tips, breasts, legs and parts thereof)",020713700080,0207 13 70 ----- Other
02071391,Fresh or chilled edible livers of fowls of the species Gallus domesticus,020713910080,0207 13 91 ---- Livers
02071399,Fresh or chilled edible offal of fowls of the species Gallus domesticus (excl. livers),020713990080,0207 13 99 ---- Other
020714,Frozen cuts and edible offal of fowls of the species Gallus domesticus,020714000080,"0207 14 -- Cuts and offal, frozen"
02071410,Frozen boneless cuts of fowls of the species Gallus domesticus,020714100080,0207 14 10 ---- Boneless
02071420,Frozen halves or quarters of fowls of the species Gallus domesticus,020714200080,0207 14 20 ----- Halves or quarters
02071430,"Frozen whole wings, with or without tips, of fowls of the species Gallus domesticus",020714300080,"0207 14 30 ----- Whole wings, with or without tips"
02071440,"Frozen backs, necks, backs with necks attached, rumps and wing-tips of fowls of the species Gallus domesticus",020714400080,"0207 14 40 ----- Backs, necks, backs with necks attached, rumps and wing-tips"
02071450,"Frozen breasts and cuts thereof of fowls of the species Gallus domesticus, with bone in",020714500080,0207 14 50 ----- Breasts and cuts thereof
02071460,"Frozen legs and cuts thereof of fowls of the species Gallus domesticus, with bone in",020714600080,0207 14 60 ----- Legs and cuts thereof
02071470,"Frozen cuts of fowls of the species Gallus domesticus, with bone in (excl. halves or quarters, whole wings, with or without tips, backs, necks, backs with necks attached, rumps and wing-tips, breasts, legs and cuts thereof)",020714700080,0207 14 70 ----- Other
02071491,Frozen edible livers of fowls of the species Gallus domesticus,020714910080,0207 14 91 ---- Livers
02071499,Frozen edible offal of fowls of the species Gallus domesticus (excl. livers),020714990080,0207 14 99 ---- Other
020724,"Fresh or chilled turkeys of the species domesticus, not cut in pieces",020724000080,"0207 24 -- Not cut in pieces, fresh or chilled"
02072410,"Fresh or chilled, plucked and drawn turkeys of the species domesticus, without heads and feet but with necks, hearts, livers and gizzards, known as ""80% turkeys""",020724100080,"0207 24 10 --- Plucked and drawn, without heads and feet but with necks, hearts, livers and gizzards, known as ‘80 % turkeys’"
